Company,Address,Phone,Website,Domain_Guessed,Sales_Fit_Score,Sales_Recommendation,Has_WordPress,Server_Detected,Security_Headers_Count
Smith Brothers Auto Repair,"2324 Garrison Avenue, Fort Smith, AR 72901",479-782-5500,smithbrosautoftsmith.com,smithbrosautoftsmith.com,65,MAYBE,No,None,0
A1 Plumbing & Drain Service,"3201 Jenny Lind Road, Fort Smith, AR 72901",479-783-7000,,a1plumbinganddrainse.com,65,MAYBE,No,None,0
Fort Smith Toyota,"5340 Rogers Avenue, Fort Smith, AR 72903",479-452-5000,fortsmithtoyota.com,fortsmithtoyota.com,65,MAYBE,No,None,0
Parker Ford Lincoln,"3801 Rogers Avenue, Fort Smith, AR 72903",479-784-1000,parkerfordlincoln.com,parkerfordlincoln.com,65,MAYBE,No,None,0
Hendrick Auto Group,"2500 Old Wire Road, Fort Smith, AR 72901",479-782-8900,,hendrickautogroup.com,65,MAYBE,No,None,0
Johnny's Auto Service,"1620 South 52nd Street, Fort Smith, AR 72908",479-646-7777,,johnny'sautoservice.com,65,MAYBE,No,None,0
Tommy's Tire & Auto,"4101 Rogers Avenue, Fort Smith, AR 72903",479-783-8765,,tommy'stireandauto.com,65,MAYBE,No,None,0
West Side Transmission,"3101 Garrison Avenue, Fort Smith, AR 72901",479-783-2900,,westsidetransmission.com,80,CONTACT,Yes,nginx,0
Cossatot River Hardwoods,"1220 North 14th Street, Fort Smith, AR 72901",479-783-6300,cossatotriver.com,cossatotriver.com,80,CONTACT,Yes,nginx,1
Belle Grove Antiques,"221 Garrison Avenue, Fort Smith, AR 72901",479-783-7373,,bellegroveantiques.com,65,MAYBE,No,None,0
Ozark Natural Foods,"22 South Old Wire Road, Fort Smith, AR 72901",479-782-5555,ozarknaturalfoods.com,ozarknaturalfoods.com,65,MAYBE,No,None,0
Residential Services & Supply,"3131 Old Greenwood Road, Fort Smith, AR 72903",479-783-1555,,residentialservicesa.com,65,MAYBE,No,None,0
Downtown Antique Mall,"623 Garrison Avenue, Fort Smith, AR 72901",479-785-0321,,downtownantiquemall.com,60,MAYBE,Yes,Apache,3
Fort Smith Gift Gallery,"319 Main Street, Fort Smith, AR 72901",479-782-3456,,fortsmithgiftgallery.com,65,MAYBE,No,None,0
The Pottery Place,"1001 Rogers Avenue, Fort Smith, AR 72901",479-784-5678,,thepotteryplace.com,60,MAYBE,Yes,nginx-rc,3
Salvation Army Thrift Store,"2319 Rogers Avenue, Fort Smith, AR 72903",479-783-9012,,salvationarmythrifts.com,65,MAYBE,No,None,0
River Valley Home Decor,"425 Main Street, Fort Smith, AR 72901",479-782-7890,,rivervalleyhomedecor.com,65,MAYBE,No,None,0
Fabric & Craft Outlet,"3225 Garrison Avenue, Fort Smith, AR 72901",479-783-4567,,fabricandcraftoutlet.com,65,MAYBE,No,None,0
Downtown Books & More,"510 Main Street, Fort Smith, AR 72901",479-782-5555,,downtownbooksandmore.com,65,MAYBE,No,None,0
River City Steakhouse,"623 North 23rd Street, Fort Smith, AR 72901",479-783-2344,rivercitysteakhouse.com,rivercitysteakhouse.com,65,MAYBE,No,None,0
The Catfish Hole,"2401 Rogers Avenue, Fort Smith, AR 72903",479-783-8765,,thecatfishhole.com,65,MAYBE,No,None,0
Leatherby's Family Creamery,"3131 Towson Avenue, Fort Smith, AR 72901",479-783-5566,,leatherby'sfamilycre.com,65,MAYBE,No,None,0
Tamashii Ramen House,"119 North 16th Street, Fort Smith, AR 72901",479-785-7788,tamashiiramen.com,tamashiiramen.com,65,MAYBE,No,None,0
Cinnamon Stick Cafe,"211 Garrison Avenue, Fort Smith, AR 72901",479-782-4455,,cinnamonstickcafe.com,65,MAYBE,No,None,0
Marco's Italian Kitchen,"3201 Rogers Avenue, Fort Smith, AR 72903",479-784-1111,marcositalian.com,marcositalian.com,65,MAYBE,No,None,0
The Grill at River Front,"100 Riverfront Drive, Fort Smith, AR 72901",479-783-5555,,thegrillatriverfront.com,65,MAYBE,No,None,0
City Brew Coffee,"315 Main Street, Fort Smith, AR 72901",479-782-3344,citybrew.com,citybrew.com,80,CONTACT,Yes,Apache,0
